#Gene_ID	#KEGG_Pathway
TRINITY_DN10321_c0_g1	ko04111"Cell_cycle_-_yeast",ko05200"Pathways_in_cancer",ko05222"Small_cell_lung_cancer"
TRINITY_DN10345_c0_g1	ko03018"RNA_degradation"
TRINITY_DN10367_c0_g1	ko04622"RIG-I-like_receptor_signaling_pathway"
TRINITY_DN10371_c0_g1	ko00190"Oxidative_phosphorylation",ko01100"Metabolic_pathways",ko04714"Thermogenesis",ko05010"Alzheimer_disease",ko05012"Parkinson_disease",ko05016"Huntington_disease"
TRINITY_DN10402_c0_g1	ko00030"Pentose_phosphate_pathway",ko00710"Carbon_fixation_in_photosynthetic_organisms",ko01100"Metabolic_pathways",ko01110"Biosynthesis_of_secondary_metabolites",ko01120"Microbial_metabolism_in_diverse_environments",ko01130"Biosynthesis_of_antibiotics",ko01200"Carbon_metabolism",ko01230"Biosynthesis_of_amino_acids"
TRINITY_DN10413_c0_g1	ko00051"Fructose_and_mannose_metabolism",ko00561"Glycerolipid_metabolism",ko00680"Methane_metabolism",ko01100"Metabolic_pathways",ko01120"Microbial_metabolism_in_diverse_environments",ko01200"Carbon_metabolism",ko04622"RIG-I-like_receptor_signaling_pathway"
TRINITY_DN10437_c0_g1	ko04146"Peroxisome"
TRINITY_DN10443_c0_g1	ko03010"Ribosome"
TRINITY_DN10470_c0_g1	ko04217"Necroptosis",ko05034"Alcoholism",ko05322"Systemic_lupus_erythematosus"
TRINITY_DN10471_c0_g1	ko01522"Endocrine_resistance",ko04010"MAPK_signaling_pathway",ko04014"Ras_signaling_pathway",ko04020"Calcium_signaling_pathway",ko04024"cAMP_signaling_pathway",ko04062"Chemokine_signaling_pathway",ko04113"Meiosis_-_yeast",ko04114"Oocyte_meiosis",ko04138"Autophagy_-_yeast",ko04140"Autophagy_-_animal",ko04211"Longevity_regulating_pathway",ko04213"Longevity_regulating_pathway_-_multiple_species",ko04261"Adrenergic_signaling_in_cardiomyocytes",ko04270"Vascular_smooth_muscle_contraction",ko04310"Wnt_signaling_pathway",ko04340"Hedgehog_signaling_pathway",ko04341"Hedgehog_signaling_pathway_-_fly",ko04361"Axon_regeneration",ko04371"Apelin_signaling_pathway",ko04530"Tight_junction",ko04540"Gap_junction",ko04611"Platelet_activation",ko04713"Circadian_entrainment",ko04714"Thermogenesis",ko04720"Long-term_potentiation",ko04723"Retrograde_endocannabinoid_signaling",ko04724"Glutamatergic_synapse",ko04725"Cholinergic_synapse",ko04726"Serotonergic_synapse",ko04727"GABAergic_synapse",ko04728"Dopaminergic_synapse",ko04740"Olfactory_transduction",ko04742"Taste_transduction",ko04750"Inflammatory_mediator_regulation_of_TRP_channels",ko04910"Insulin_signaling_pathway",ko04911"Insulin_secretion",ko04912"GnRH_signaling_pathway",ko04913"Ovarian_steroidogenesis",ko04914"Progesterone-mediated_oocyte_maturation",ko04915"Estrogen_signaling_pathway",ko04916"Melanogenesis",ko04918"Thyroid_hormone_synthesis",ko04919"Thyroid_hormone_signaling_pathway",ko04921"Oxytocin_signaling_pathway",ko04922"Glucagon_signaling_pathway",ko04923"Regulation_of_lipolysis_in_adipocytes",ko04924"Renin_secretion",ko04925"Aldosterone_synthesis_and_secretion",ko04926"Relaxin_signaling_pathway",ko04927"Cortisol_synthesis_and_secretion",ko04928"Parathyroid_hormone_synthesis,_secretion_and_action",ko04934"Cushing_syndrome",ko04935"Growth_hormone_synthesis,_secretion_and_action",ko04961"Endocrine_and_other_factor-regulated_calcium_reabsorption",ko04962"Vasopressin-regulated_water_reabsorption",ko04970"Salivary_secretion",ko04971"Gastric_acid_secretion",ko04976"Bile_secretion",ko05012"Parkinson_disease",ko05020"Prion_diseases",ko05030"Cocaine_addiction",ko05031"Amphetamine_addiction",ko05032"Morphine_addiction",ko05034"Alcoholism",ko05110"Vibrio_cholerae_infection",ko05146"Amoebiasis",ko05163"Human_cytomegalovirus_infection",ko05165"Human_papillomavirus_infection",ko05166"Human_T-cell_leukemia_virus_1_infection",ko05200"Pathways_in_cancer",ko05203"Viral_carcinogenesis",ko05205"Proteoglycans_in_cancer",ko05414"Dilated_cardiomyopathy_(DCM)"
TRINITY_DN10479_c0_g1	ko05203"Viral_carcinogenesis"
TRINITY_DN10489_c0_g1	ko04270"Vascular_smooth_muscle_contraction",ko04510"Focal_adhesion",ko04810"Regulation_of_actin_cytoskeleton",ko04921"Oxytocin_signaling_pathway",ko05205"Proteoglycans_in_cancer"
TRINITY_DN10498_c0_g1	ko03440"Homologous_recombination",ko03460"Fanconi_anemia_pathway",ko05200"Pathways_in_cancer",ko05212"Pancreatic_cancer"
TRINITY_DN1052_c0_g1	ko00380"Tryptophan_metabolism",ko01100"Metabolic_pathways"
TRINITY_DN10521_c0_g1	ko04712"Circadian_rhythm_-_plant"
TRINITY_DN10537_c0_g1	ko00620"Pyruvate_metabolism",ko01100"Metabolic_pathways",ko01120"Microbial_metabolism_in_diverse_environments"
TRINITY_DN10542_c0_g1	ko01521"EGFR_tyrosine_kinase_inhibitor_resistance",ko03010"Ribosome",ko04066"HIF-1_signaling_pathway",ko04150"mTOR_signaling_pathway",ko04151"PI3K-Akt_signaling_pathway",ko04371"Apelin_signaling_pathway",ko04714"Thermogenesis",ko04910"Insulin_signaling_pathway",ko05205"Proteoglycans_in_cancer"
TRINITY_DN10560_c0_g1	ko00290"Valine,_leucine_and_isoleucine_biosynthesis",ko00770"Pantothenate_and_CoA_biosynthesis",ko01100"Metabolic_pathways",ko01110"Biosynthesis_of_secondary_metabolites",ko01130"Biosynthesis_of_antibiotics",ko01210"2-Oxocarboxylic_acid_metabolism",ko01230"Biosynthesis_of_amino_acids"
TRINITY_DN10568_c0_g1	ko00290"Valine,_leucine_and_isoleucine_biosynthesis",ko00770"Pantothenate_and_CoA_biosynthesis",ko01100"Metabolic_pathways",ko01110"Biosynthesis_of_secondary_metabolites",ko01130"Biosynthesis_of_antibiotics",ko01210"2-Oxocarboxylic_acid_metabolism",ko01230"Biosynthesis_of_amino_acids"
TRINITY_DN1057_c0_g1	ko04145"Phagosome",ko04962"Vasopressin-regulated_water_reabsorption",ko05132"Salmonella_infection"
TRINITY_DN10603_c0_g1	ko03010"Ribosome"
TRINITY_DN10619_c0_g1	ko00380"Tryptophan_metabolism",ko00790"Folate_biosynthesis",ko01100"Metabolic_pathways",ko04361"Axon_regeneration",ko04726"Serotonergic_synapse"
TRINITY_DN10620_c0_g1	ko00220"Arginine_biosynthesis",ko00250"Alanine,_aspartate_and_glutamate_metabolism",ko00630"Glyoxylate_and_dicarboxylate_metabolism",ko00910"Nitrogen_metabolism",ko01100"Metabolic_pathways",ko01120"Microbial_metabolism_in_diverse_environments",ko01230"Biosynthesis_of_amino_acids",ko02020"Two-component_system",ko04217"Necroptosis",ko04724"Glutamatergic_synapse",ko04727"GABAergic_synapse"
TRINITY_DN1063_c0_g1	ko04011"MAPK_signaling_pathway_-_yeast",ko04014"Ras_signaling_pathway",ko04015"Rap1_signaling_pathway",ko04022"cGMP-PKG_signaling_pathway",ko04024"cAMP_signaling_pathway",ko04062"Chemokine_signaling_pathway",ko04071"Sphingolipid_signaling_pathway",ko04072"Phospholipase_D_signaling_pathway",ko04144"Endocytosis",ko04150"mTOR_signaling_pathway",ko04270"Vascular_smooth_muscle_contraction",ko04310"Wnt_signaling_pathway",ko04350"TGF-beta_signaling_pathway",ko04360"Axon_guidance",ko04361"Axon_regeneration",ko04510"Focal_adhesion",ko04520"Adherens_junction",ko04530"Tight_junction",ko04611"Platelet_activation",ko04621"NOD-like_receptor_signaling_pathway",ko04625"C-type_lectin_receptor_signaling_pathway",ko04660"T_cell_receptor_signaling_pathway",ko04670"Leukocyte_transendothelial_migration",ko04722"Neurotrophin_signaling_pathway",ko04810"Regulation_of_actin_cytoskeleton",ko04921"Oxytocin_signaling_pathway",ko04928"Parathyroid_hormone_synthesis,_secretion_and_action",ko04972"Pancreatic_secretion",ko05100"Bacterial_invasion_of_epithelial_cells",ko05130"Pathogenic_Escherichia_coli_infection",ko05133"Pertussis",ko05135"Yersinia_infection",ko05152"Tuberculosis",ko05163"Human_cytomegalovirus_infection",ko05200"Pathways_in_cancer",ko05203"Viral_carcinogenesis",ko05205"Proteoglycans_in_cancer",ko05206"MicroRNAs_in_cancer",ko05210"Colorectal_cancer",ko05418"Fluid_shear_stress_and_atherosclerosis"
TRINITY_DN10652_c0_g1	ko04962"Vasopressin-regulated_water_reabsorption",ko05016"Huntington_disease"
TRINITY_DN10656_c0_g1	ko00830"Retinol_metabolism",ko01100"Metabolic_pathways"
TRINITY_DN10681_c0_g1	ko04144"Endocytosis"
TRINITY_DN10687_c0_g1	ko04136"Autophagy_-_other",ko04138"Autophagy_-_yeast",ko04140"Autophagy_-_animal"
TRINITY_DN10695_c0_g1	ko04922"Glucagon_signaling_pathway"
TRINITY_DN10734_c0_g1	ko05168"Herpes_simplex_virus_1_infection"
TRINITY_DN10747_c0_g1	ko04020"Calcium_signaling_pathway",ko04024"cAMP_signaling_pathway",ko04211"Longevity_regulating_pathway",ko04371"Apelin_signaling_pathway",ko04380"Osteoclast_differentiation",ko04720"Long-term_potentiation",ko04722"Neurotrophin_signaling_pathway",ko04725"Cholinergic_synapse",ko04921"Oxytocin_signaling_pathway",ko04925"Aldosterone_synthesis_and_secretion",ko05031"Amphetamine_addiction",ko05034"Alcoholism",ko05214"Glioma"
TRINITY_DN1076_c0_g1	ko00450"Selenocompound_metabolism",ko00970"Aminoacyl-tRNA_biosynthesis",ko01100"Metabolic_pathways"
TRINITY_DN10763_c0_g1	ko05130"Pathogenic_Escherichia_coli_infection"
TRINITY_DN10773_c0_g1	ko04015"Rap1_signaling_pathway",ko04022"cGMP-PKG_signaling_pathway",ko04024"cAMP_signaling_pathway",ko04062"Chemokine_signaling_pathway",ko04071"Sphingolipid_signaling_pathway",ko04113"Meiosis_-_yeast",ko04261"Adrenergic_signaling_in_cardiomyocytes",ko04360"Axon_guidance",ko04371"Apelin_signaling_pathway",ko04540"Gap_junction",ko04611"Platelet_activation",ko04670"Leukocyte_transendothelial_migration",ko04713"Circadian_entrainment",ko04723"Retrograde_endocannabinoid_signaling",ko04724"Glutamatergic_synapse",ko04725"Cholinergic_synapse",ko04726"Serotonergic_synapse",ko04727"GABAergic_synapse",ko04728"Dopaminergic_synapse",ko04730"Long-term_depression",ko04914"Progesterone-mediated_oocyte_maturation",ko04915"Estrogen_signaling_pathway",ko04916"Melanogenesis",ko04921"Oxytocin_signaling_pathway",ko04923"Regulation_of_lipolysis_in_adipocytes",ko04924"Renin_secretion",ko04926"Relaxin_signaling_pathway",ko04928"Parathyroid_hormone_synthesis,_secretion_and_action",ko04934"Cushing_syndrome",ko04935"Growth_hormone_synthesis,_secretion_and_action",ko04971"Gastric_acid_secretion",ko05012"Parkinson_disease",ko05030"Cocaine_addiction",ko05032"Morphine_addiction",ko05034"Alcoholism",ko05133"Pertussis",ko05142"Chagas_disease_(American_trypanosomiasis)",ko05145"Toxoplasmosis",ko05163"Human_cytomegalovirus_infection",ko05170"Human_immunodeficiency_virus_1_infection",ko05200"Pathways_in_cancer"
TRINITY_DN10785_c0_g1	ko00250"Alanine,_aspartate_and_glutamate_metabolism",ko00760"Nicotinate_and_nicotinamide_metabolism",ko01100"Metabolic_pathways"
TRINITY_DN10803_c0_g1	ko00790"Folate_biosynthesis",ko01100"Metabolic_pathways"
TRINITY_DN1082_c0_g1	ko00030"Pentose_phosphate_pathway",ko00230"Purine_metabolism",ko01100"Metabolic_pathways",ko01110"Biosynthesis_of_secondary_metabolites",ko01120"Microbial_metabolism_in_diverse_environments",ko01130"Biosynthesis_of_antibiotics",ko01200"Carbon_metabolism",ko01230"Biosynthesis_of_amino_acids"
TRINITY_DN10823_c0_g1	ko00531"Glycosaminoglycan_degradation",ko01100"Metabolic_pathways",ko04142"Lysosome"
TRINITY_DN10867_c0_g1	ko00830"Retinol_metabolism"
TRINITY_DN10879_c0_g1	ko03008"Ribosome_biogenesis_in_eukaryotes",ko03013"RNA_transport",ko04013"MAPK_signaling_pathway_-_fly",ko05164"Influenza_A",ko05166"Human_T-cell_leukemia_virus_1_infection"
TRINITY_DN10887_c0_g1	ko04070"Phosphatidylinositol_signaling_system"
TRINITY_DN10891_c0_g1	ko05142"Chagas_disease_(American_trypanosomiasis)",ko05143"African_trypanosomiasis"
TRINITY_DN10895_c0_g1	ko03013"RNA_transport"
TRINITY_DN10902_c0_g1	ko05168"Herpes_simplex_virus_1_infection"
TRINITY_DN10918_c0_g1	ko04626"Plant-pathogen_interaction",ko05145"Toxoplasmosis"
TRINITY_DN10921_c0_g1	ko00630"Glyoxylate_and_dicarboxylate_metabolism",ko01100"Metabolic_pathways",ko01110"Biosynthesis_of_secondary_metabolites",ko01120"Microbial_metabolism_in_diverse_environments",ko01130"Biosynthesis_of_antibiotics",ko01200"Carbon_metabolism",ko04146"Peroxisome"
TRINITY_DN10926_c0_g1	ko00520"Amino_sugar_and_nucleotide_sugar_metabolism"
TRINITY_DN10933_c0_g1	ko01524"Platinum_drug_resistance",ko03420"Nucleotide_excision_repair",ko03460"Fanconi_anemia_pathway"
TRINITY_DN10937_c0_g1	ko00531"Glycosaminoglycan_degradation",ko01100"Metabolic_pathways",ko04142"Lysosome"
TRINITY_DN10944_c0_g1	ko00480"Glutathione_metabolism",ko00980"Metabolism_of_xenobiotics_by_cytochrome_P450",ko00982"Drug_metabolism_-_cytochrome_P450",ko00983"Drug_metabolism_-_other_enzymes",ko01100"Metabolic_pathways",ko01524"Platinum_drug_resistance",ko04212"Longevity_regulating_pathway_-_worm",ko05200"Pathways_in_cancer",ko05204"Chemical_carcinogenesis",ko05225"Hepatocellular_carcinoma",ko05418"Fluid_shear_stress_and_atherosclerosis"
TRINITY_DN10963_c0_g1	ko00510"N-Glycan_biosynthesis",ko00513"Various_types_of_N-glycan_biosynthesis",ko01100"Metabolic_pathways"
TRINITY_DN10972_c0_g1	ko00531"Glycosaminoglycan_degradation",ko01100"Metabolic_pathways",ko04142"Lysosome"
TRINITY_DN1098_c0_g1	ko00010"Glycolysis_/_Gluconeogenesis",ko00020"Citrate_cycle_(TCA_cycle)",ko00620"Pyruvate_metabolism",ko01100"Metabolic_pathways",ko01110"Biosynthesis_of_secondary_metabolites",ko01120"Microbial_metabolism_in_diverse_environments",ko01130"Biosynthesis_of_antibiotics",ko01200"Carbon_metabolism",ko00020"Citrate_cycle_(TCA_cycle)",ko00310"Lysine_degradation",ko00380"Tryptophan_metabolism",ko01100"Metabolic_pathways",ko01110"Biosynthesis_of_secondary_metabolites",ko01120"Microbial_metabolism_in_diverse_environments",ko01130"Biosynthesis_of_antibiotics",ko01200"Carbon_metabolism"
TRINITY_DN10993_c0_g1	ko04120"Ubiquitin_mediated_proteolysis",ko04144"Endocytosis"
TRINITY_DN11014_c0_g1	ko02024"Quorum_sensing",ko03060"Protein_export",ko03070"Bacterial_secretion_system"
TRINITY_DN11024_c0_g1	ko01523"Antifolate_resistance",ko01524"Platinum_drug_resistance",ko02010"ABC_transporters",ko04976"Bile_secretion"
TRINITY_DN11049_c0_g1	ko04110"Cell_cycle",ko04111"Cell_cycle_-_yeast",ko04114"Oocyte_meiosis",ko04120"Ubiquitin_mediated_proteolysis",ko04141"Protein_processing_in_endoplasmic_reticulum",ko04310"Wnt_signaling_pathway",ko04341"Hedgehog_signaling_pathway_-_fly",ko04350"TGF-beta_signaling_pathway",ko04710"Circadian_rhythm",ko05170"Human_immunodeficiency_virus_1_infection",ko05200"Pathways_in_cancer"
TRINITY_DN1116_c0_g1	ko04130"SNARE_interactions_in_vesicular_transport",ko04721"Synaptic_vesicle_cycle",ko04911"Insulin_secretion",ko05031"Amphetamine_addiction"
TRINITY_DN1118_c0_g1	ko00562"Inositol_phosphate_metabolism",ko01100"Metabolic_pathways",ko04070"Phosphatidylinositol_signaling_system",ko04136"Autophagy_-_other",ko04138"Autophagy_-_yeast",ko04140"Autophagy_-_animal",ko04145"Phagosome",ko04371"Apelin_signaling_pathway",ko05152"Tuberculosis",ko05167"Kaposi_sarcoma-associated_herpesvirus_infection"
TRINITY_DN1121_c0_g1	ko03010"Ribosome"
TRINITY_DN11210_c0_g1	ko03040"Spliceosome",ko04330"Notch_signaling_pathway",ko05169"Epstein-Barr_virus_infection",ko05203"Viral_carcinogenesis"
TRINITY_DN1122_c0_g1	ko00010"Glycolysis_/_Gluconeogenesis",ko00270"Cysteine_and_methionine_metabolism",ko00620"Pyruvate_metabolism",ko00640"Propanoate_metabolism",ko01100"Metabolic_pathways",ko01110"Biosynthesis_of_secondary_metabolites",ko01120"Microbial_metabolism_in_diverse_environments",ko01130"Biosynthesis_of_antibiotics",ko04066"HIF-1_signaling_pathway",ko04922"Glucagon_signaling_pathway",ko05230"Central_carbon_metabolism_in_cancer"
TRINITY_DN11243_c0_g1	ko04217"Necroptosis",ko05034"Alcoholism",ko05322"Systemic_lupus_erythematosus"
TRINITY_DN11251_c0_g1	ko00561"Glycerolipid_metabolism",ko00564"Glycerophospholipid_metabolism",ko01110"Biosynthesis_of_secondary_metabolites"
TRINITY_DN11256_c0_g1	ko04145"Phagosome",ko04210"Apoptosis",ko04530"Tight_junction",ko04540"Gap_junction",ko05130"Pathogenic_Escherichia_coli_infection"
TRINITY_DN11282_c0_g1	ko05168"Herpes_simplex_virus_1_infection"
TRINITY_DN11283_c0_g1	ko00561"Glycerolipid_metabolism",ko01100"Metabolic_pathways"
TRINITY_DN11298_c0_g1	ko00195"Photosynthesis",ko01100"Metabolic_pathways"
TRINITY_DN11302_c0_g1	ko00100"Steroid_biosynthesis",ko01100"Metabolic_pathways",ko01130"Biosynthesis_of_antibiotics"
TRINITY_DN11319_c0_g1	ko04110"Cell_cycle",ko04111"Cell_cycle_-_yeast",ko04113"Meiosis_-_yeast",ko04114"Oocyte_meiosis",ko04120"Ubiquitin_mediated_proteolysis",ko04914"Progesterone-mediated_oocyte_maturation",ko05166"Human_T-cell_leukemia_virus_1_infection"
TRINITY_DN11324_c0_g1	ko00240"Pyrimidine_metabolism",ko01100"Metabolic_pathways"
TRINITY_DN11331_c0_g1	ko04144"Endocytosis",ko04913"Ovarian_steroidogenesis",ko04925"Aldosterone_synthesis_and_secretion",ko04927"Cortisol_synthesis_and_secretion",ko04934"Cushing_syndrome",ko04976"Bile_secretion",ko04979"Cholesterol_metabolism",ko05145"Toxoplasmosis",ko05160"Hepatitis_C"
TRINITY_DN1134_c0_g1	ko00730"Thiamine_metabolism",ko01100"Metabolic_pathways",ko04122"Sulfur_relay_system"
TRINITY_DN11415_c0_g1	ko04391"Hippo_signaling_pathway_-_fly"
TRINITY_DN11423_c0_g1	ko04072"Phospholipase_D_signaling_pathway",ko04144"Endocytosis",ko05110"Vibrio_cholerae_infection",ko05130"Pathogenic_Escherichia_coli_infection",ko05134"Legionellosis"
TRINITY_DN11439_c0_g1	ko04068"FoxO_signaling_pathway",ko04140"Autophagy_-_animal",ko04150"mTOR_signaling_pathway",ko04151"PI3K-Akt_signaling_pathway",ko04152"AMPK_signaling_pathway",ko04211"Longevity_regulating_pathway",ko04213"Longevity_regulating_pathway_-_multiple_species",ko04361"Axon_regeneration",ko04371"Apelin_signaling_pathway",ko04530"Tight_junction",ko04710"Circadian_rhythm",ko04714"Thermogenesis",ko04910"Insulin_signaling_pathway",ko04920"Adipocytokine_signaling_pathway",ko04921"Oxytocin_signaling_pathway",ko04922"Glucagon_signaling_pathway",ko04931"Insulin_resistance",ko04932"Non-alcoholic_fatty_liver_disease_(NAFLD)",ko05410"Hypertrophic_cardiomyopathy_(HCM)",ko05418"Fluid_shear_stress_and_atherosclerosis"
TRINITY_DN11442_c0_g1	ko03050"Proteasome",ko05169"Epstein-Barr_virus_infection"
TRINITY_DN11453_c0_g1	ko04978"Mineral_absorption"
TRINITY_DN11475_c0_g1	ko04120"Ubiquitin_mediated_proteolysis",ko05165"Human_papillomavirus_infection",ko05203"Viral_carcinogenesis"
TRINITY_DN11487_c0_g1	ko04110"Cell_cycle",ko04111"Cell_cycle_-_yeast",ko04113"Meiosis_-_yeast",ko04114"Oocyte_meiosis"
TRINITY_DN11493_c0_g1	ko04151"PI3K-Akt_signaling_pathway"
TRINITY_DN11534_c0_g1	ko04115"p53_signaling_pathway",ko04120"Ubiquitin_mediated_proteolysis",ko05162"Measles"
TRINITY_DN11546_c0_g1	ko04112"Cell_cycle_-_Caulobacter"
TRINITY_DN11553_c0_g1	ko04391"Hippo_signaling_pathway_-_fly"
TRINITY_DN11569_c0_g1	ko03040"Spliceosome"
TRINITY_DN1157_c0_g1	ko00330"Arginine_and_proline_metabolism",ko01100"Metabolic_pathways"
TRINITY_DN11582_c0_g1	ko00010"Glycolysis_/_Gluconeogenesis",ko00030"Pentose_phosphate_pathway",ko00051"Fructose_and_mannose_metabolism",ko00052"Galactose_metabolism",ko00680"Methane_metabolism",ko01100"Metabolic_pathways",ko01110"Biosynthesis_of_secondary_metabolites",ko01120"Microbial_metabolism_in_diverse_environments",ko01130"Biosynthesis_of_antibiotics",ko01200"Carbon_metabolism",ko01230"Biosynthesis_of_amino_acids",ko03018"RNA_degradation",ko04066"HIF-1_signaling_pathway",ko04152"AMPK_signaling_pathway",ko04922"Glucagon_signaling_pathway",ko05230"Central_carbon_metabolism_in_cancer"
TRINITY_DN11610_c0_g1	ko04112"Cell_cycle_-_Caulobacter",ko04212"Longevity_regulating_pathway_-_worm"
TRINITY_DN11615_c0_g1	ko04340"Hedgehog_signaling_pathway",ko05200"Pathways_in_cancer",ko05217"Basal_cell_carcinoma"
TRINITY_DN11618_c0_g1	ko03460"Fanconi_anemia_pathway",ko04110"Cell_cycle",ko04115"p53_signaling_pathway",ko04214"Apoptosis_-_fly",ko04218"Cellular_senescence",ko05165"Human_papillomavirus_infection",ko05166"Human_T-cell_leukemia_virus_1_infection",ko05170"Human_immunodeficiency_virus_1_infection"
TRINITY_DN11626_c0_g1	ko00860"Porphyrin_and_chlorophyll_metabolism",ko00970"Aminoacyl-tRNA_biosynthesis",ko01100"Metabolic_pathways",ko01110"Biosynthesis_of_secondary_metabolites",ko01120"Microbial_metabolism_in_diverse_environments"
TRINITY_DN1164_c0_g1	ko03010"Ribosome"
TRINITY_DN11665_c0_g1	ko00900"Terpenoid_backbone_biosynthesis",ko01100"Metabolic_pathways",ko01110"Biosynthesis_of_secondary_metabolites",ko01130"Biosynthesis_of_antibiotics"
TRINITY_DN11669_c0_g1	ko03420"Nucleotide_excision_repair"
TRINITY_DN11677_c0_g1	ko00052"Galactose_metabolism",ko00500"Starch_and_sucrose_metabolism",ko01100"Metabolic_pathways",ko04141"Protein_processing_in_endoplasmic_reticulum"
